2024-02-07 15:50:08	[Main thread]	INFO	readr	cli_block	 [36m──[39m [1mColumn specification[22m [36m─────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────[39m cols(   checkLevel = [31mcol_character()[39m,   checkName = [31mcol_character()[39m,   checkDescription = [31mcol_character()[39m,   kahnContext = [31mcol_character()[39m,   kahnCategory = [31mcol_character()[39m,   kahnSubcategory = [31mcol_character()[39m,   sqlFile = [31mcol_character()[39m,   evaluationFilter = [31mcol_character()[39m ) 
2024-02-07 15:50:08	[Main thread]	INFO	DataQualityDashboard	executeDqChecks	CDM Tables skipped: CONCEPT, VOCABULARY, CONCEPT_ANCESTOR, CONCEPT_RELATIONSHIP, CONCEPT_CLASS, CONCEPT_SYNONYM, RELATIONSHIP, DOMAIN
2024-02-07 15:50:08	[Main thread]	INFO	DatabaseConnector	connectSqlite	Connecting using SQLite driver
2024-02-07 15:50:08	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: cdmTable
2024-02-07 15:50:09	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: measurePersonCompleteness
2024-02-07 15:50:10	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: measureConditionEraCompleteness
2024-02-07 15:50:10	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: cdmField
2024-02-07 15:50:12	[Main thread]	ERROR	DataQualityDashboard	3	[Level: FIELD] [Check: cdmField] [CDM Table: COST] [CDM Field: REVENUE_CODE_SOURCE_VALUE] Error executing SQL: no such column: REVENUE_CODE_SOURCE_VALUE An error report has been created at  my output/errors/FIELD_cdmField_COST_REVENUE_CODE_SOURCE_VALUE.txt
2024-02-07 15:50:21	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: isRequired
2024-02-07 15:50:25	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: cdmDatatype
2024-02-07 15:50:33	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: isPrimaryKey
2024-02-07 15:50:34	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: isForeignKey
2024-02-07 15:50:39	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: fkDomain
2024-02-07 15:50:40	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: fkClass
2024-02-07 15:50:41	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: isStandardValidConcept
2024-02-07 15:50:42	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: measureValueCompleteness
2024-02-07 15:50:44	[Main thread]	ERROR	DataQualityDashboard	3	[Level: FIELD] [Check: measureValueCompleteness] [CDM Table: COST] [CDM Field: REVENUE_CODE_SOURCE_VALUE] Error executing SQL: no such column: cdmTable.REVENUE_CODE_SOURCE_VALUE An error report has been created at  my output/errors/FIELD_measureValueCompleteness_COST_REVENUE_CODE_SOURCE_VALUE.txt
2024-02-07 15:50:53	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: standardConceptRecordCompleteness
2024-02-07 15:50:55	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: sourceConceptRecordCompleteness
2024-02-07 15:50:55	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: sourceValueCompleteness
2024-02-07 15:50:57	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: plausibleValueLow
2024-02-07 15:51:00	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: plausibleValueHigh
2024-02-07 15:51:02	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: plausibleTemporalAfter
2024-02-07 15:51:06	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: plausibleDuringLife
2024-02-07 15:51:07	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: withinVisitDates
2024-02-07 15:51:07	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: plausibleGender
2024-02-07 15:51:20	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: plausibleUnitConceptIds
2024-02-07 15:52:55	[Main thread]	INFO	DataQualityDashboard	.writeResultsToJson	Writing results to file: my output/synthea-20240207155255.json
2024-02-07 15:52:55	[Main thread]	INFO	DataQualityDashboard	executeDqChecks	Execution Complete
2024-02-07 15:52:55	[Main thread]	INFO	DatabaseConnector	connectSqlite	Connecting using SQLite driver
2024-02-07 15:52:55	[Main thread]	INFO	DataQualityDashboard	.writeResultsToTable	Writing results to table main.dqdashboard_results
2024-02-07 15:52:56	[Main thread]	INFO	DatabaseConnector	executeSql	Executing SQL took 0.00944 secs
2024-02-07 15:52:56	[Main thread]	WARN	DatabaseConnector	convertLogicalFields	Column 'warning' is of type 'logical', but this is not supported by many DBMSs. Converting to numeric (1 = TRUE, 0 = FALSE)
2024-02-07 15:52:56	[Main thread]	INFO	DatabaseConnector	insertTable.DatabaseConnectorDbiConnection	Inserting data took 0.0895 secs
2024-02-07 15:52:56	[Main thread]	INFO	DataQualityDashboard	.writeResultsToTable	Finished writing table
